University,Full,Associate,Assistant
Arizona State University,11,9,3
Boston University,12,5,3
Brown University,19,3,7
California Institute of Technology,10,0,5
Carnegie Mellon University,68,36,26
Columbia University,28,13,7
Cornell University,22,6,8
Dartmouth College,3,4,3
Duke University,27,9,9
Georgia Institute of Technology,49,27,16
Harvard University,13,8,4
Johns Hopkins University,9,7,10
Massachusetts Institute of Technology,56,20,4
New York University,23,8,3
North Carolina State University,25,13,8
Northwestern University,29,21,8
Ohio State University,14,11,13
Pennsylvania State University,19,10,4
Princeton University,24,3,5
Purdue University,28,16,4
Rensselaer Polytechnic Institute,17,10,2
Rice University,13,5,2
Rutgers - State University of New Jersey - New Brunswick,24,9,6
Stanford University,29,13,9
State University of New York - Stony Brook,15,10,12
Texas A&M University,21,15,6
University of Arizona,11,6,1
University of California - Berkeley,40,6,8
University of California - Davis,24,6,1
University of California - Irvine,42,14,5
University of California - Los Angeles,30,6,3
University of California - San Diego,38,9,5
University of California - Santa Barbara,25,3,4
University of Chicago,16,3,10
University of Colorado Boulder,16,7,10
University of Florida,9,23,9
University of Illinois at Urbana-Champaign,27,19,11
University of Maryland - College Park,35,18,7
University of Massachusetts - Amherst,17,12,8
University of Michigan,33,10,16
University of Minnesota - Twin Cities,19,10,5
University of North Carolina - Chapel Hill,19,8,5
University of Notre Dame - USA,3,6,7
University of Pennsylvania,15,9,7
University of Pittsburgh,11,6,3
University of Rochester,9,5,6
University of Southern California,37,6,10
University of Texas - Austin,26,8,4
University of Utah,20,8,9
University of Virginia,10,9,4
University of Washington,28,13,9
University of Wisconsin - Madison,22,10,6
Virginia Polytechnic Institute and State University,16,17,5
Washington University - St. Louis,11,6,4
Yale University,17,1,2
