University,Theory,DataScienceCounter,Scientific,Systems,Informatics
Arizona State University,1,8,0,8,6
Boston University,4,3,0,9,4
Brown University,5,8,2,8,7
California Institute of Technology,4,2,2,4,3
Carnegie Mellon University,10,31,20,52,17
Columbia University,7,10,4,16,11
Cornell University,7,13,2,6,8
Dartmouth College,4,2,2,1,3
Duke University,10,7,11,16,8
Georgia Institute of Technology,13,17,3,43,16
Harvard University,6,6,2,8,3
Johns Hopkins University,4,10,3,5,7
Massachusetts Institute of Technology,13,19,7,30,11
New York University,8,7,2,9,11
North Carolina State University,3,10,5,15,14
Northwestern University,8,11,6,25,9
Ohio State University,4,6,0,19,9
Pennsylvania State University,3,3,6,18,3
Princeton University,10,2,2,12,6
Purdue University,6,3,9,16,14
Rensselaer Polytechnic Institute,3,8,4,5,9
Rice University,2,1,4,10,3
Rutgers - State University of New Jersey - New Brunswick,9,10,2,13,5
Stanford University,8,11,5,22,5
State University of New York - Stony Brook,8,8,2,10,9
Texas A&M University,7,7,5,17,6
University of Arizona,2,4,1,9,2
University of California - Berkeley,5,12,9,24,4
University of California - Davis,3,1,3,11,13
University of California - Irvine,6,16,6,24,9
University of California - Los Angeles,6,10,5,15,4
University of California - San Diego,8,9,4,29,8
University of California - Santa Barbara,4,5,2,15,6
University of Chicago,7,6,7,4,5
University of Colorado Boulder,3,9,8,8,6
University of Florida,4,8,3,15,11
University of Illinois at Urbana-Champaign,8,10,3,26,10
University of Maryland - College Park,8,14,5,20,13
University of Massachusetts - Amherst,7,7,0,16,7
University of Michigan,6,19,0,32,2
University of Minnesota - Twin Cities,4,7,4,14,5
University of North Carolina - Chapel Hill,3,5,5,7,12
University of Notre Dame - USA,0,6,3,5,2
University of Pennsylvania,7,8,0,11,5
University of Pittsburgh,1,4,0,11,4
University of Rochester,3,8,0,6,3
University of Southern California,7,10,11,15,11
University of Texas - Austin,8,3,6,13,8
University of Utah,2,8,8,15,12
University of Virginia,1,2,1,8,11
University of Washington,4,15,3,21,7
University of Wisconsin - Madison,8,5,1,18,6
Virginia Polytechnic Institute and State University,3,1,7,18,9
Washington University - St. Louis,0,5,5,10,1
Yale University,4,4,0,9,3
